,ts_code,name,area,industry,market,list_date
0,000001.SZ,平安银行,深圳,银行,主板,19910403
1,000002.SZ,万科A,深圳,全国地产,主板,19910129
2,000004.SZ,国农科技,深圳,互联网,主板,19910114
3,000005.SZ,世纪星源,深圳,环境保护,主板,19901210
4,000006.SZ,深振业A,深圳,区域地产,主板,19920427
5,000007.SZ,全新好,深圳,酒店餐饮,主板,19920413
6,000008.SZ,神州高铁,北京,运输设备,主板,19920507
7,000009.SZ,中国宝安,深圳,综合类,主板,19910625
8,000010.SZ,美丽生态,深圳,建筑工程,主板,19951027
9,000011.SZ,深物业A,深圳,区域地产,主板,19920330
10,000012.SZ,南玻A,深圳,玻璃,主板,19920228
11,000014.SZ,沙河股份,深圳,全国地产,主板,19920602
12,000016.SZ,深康佳A,深圳,家用电器,主板,19920327
13,000017.SZ,*ST中华A,深圳,文教休闲,主板,19920331
14,000019.SZ,深粮控股,深圳,其他商业,主板,19921012
15,000020.SZ,深华发A,深圳,元器件,主板,19920428
16,000021.SZ,深科技,深圳,IT设备,主板,19940202
17,000023.SZ,深天地A,深圳,其他建材,主板,19930429
18,000025.SZ,特力A,深圳,汽车服务,主板,19930621
19,000026.SZ,飞亚达,深圳,其他商业,主板,19930603
20,000027.SZ,深圳能源,深圳,火力发电,主板,19930903
21,000028.SZ,国药一致,深圳,医药商业,主板,19930809
22,000029.SZ,深深房A,深圳,区域地产,主板,19930915
23,000030.SZ,富奥股份,吉林,汽车配件,主板,19930929
24,000031.SZ,大悦城,深圳,全国地产,主板,19931008
25,000032.SZ,深桑达A,深圳,元器件,主板,19931028
26,000034.SZ,神州数码,深圳,综合类,主板,19940509
27,000035.SZ,中国天楹,江苏,环境保护,主板,19940408
28,000036.SZ,华联控股,深圳,全国地产,主板,19940617
29,000037.SZ,深南电A,深圳,火力发电,主板,19940701
30,000038.SZ,深大通,深圳,广告包装,主板,19940808
31,000039.SZ,中集集团,深圳,轻工机械,主板,19940408
32,000040.SZ,东旭蓝天,深圳,新型电力,主板,19940808
33,000042.SZ,中洲控股,深圳,全国地产,主板,19940921
34,000045.SZ,深纺织A,深圳,元器件,主板,19940815
35,000046.SZ,泛海控股,北京,多元金融,主板,19940912
36,000048.SZ,京基智农,深圳,饲料,主板,19941101
37,000049.SZ,德赛电池,深圳,电气设备,主板,19950320
38,000050.SZ,深天马A,深圳,元器件,主板,19950315
39,000055.SZ,方大集团,深圳,其他建材,主板,19960415
40,000056.SZ,皇庭国际,深圳,房产服务,主板,19960708
41,000058.SZ,深赛格,深圳,元器件,主板,19961226
42,000059.SZ,华锦股份,辽宁,石油加工,主板,19970130
43,000060.SZ,中金岭南,深圳,铅锌,主板,19970123
44,000061.SZ,农产品,深圳,农业综合,主板,19970110
45,000062.SZ,深圳华强,深圳,批发业,主板,19970130
46,000063.SZ,中兴通讯,深圳,通信设备,主板,19971118
