,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,high_low,pct_high_low,amount_w,amount_y,pre_amount_y,amount_change,pct_amount_change,amount_w_1,amount_w_2,amount_w_3,amount_change_1,amount_change_2,amount_change_3,pct_amount_change_1,pct_amount_change_2,pct_amount_change_3,amount_up,MA5,MA10,MA20,MA30
0,000001.SH,20201231,3473.069,3388.987,3474.918,3325.172,3391.755,81.3142,0.024,644514554300.0,8351828084440.0,149.7460000000001,4.31,835182808.44,83518.28,72564.34,10953.94,15.1,725643445.34,426841536.61,619372491.03,109539363.10000002,298801908.73,-192530954.41999996,15.1,70.0,-31.08,2,3340.6174,3146.0496999999996,3038.499799999999,
1,000001.SH,20201130,3391.755,3228.715,3456.737,3209.909,3224.533,167.2226,0.0519,568057672500.0,7256434453397.0,246.82799999999997,7.28,725643445.34,72564.34,42684.15,29880.19,70.0,426841536.61,619372491.03,962117485.08,298801908.73,-192530954.41999996,-342744994.0500001,70.0,-31.08,-35.62,1,3308.005,3086.773199999999,3018.763299999999,
2,000001.SH,20201030,3224.533,3262.611,3371.086,3219.422,3218.052,6.4804,0.002,303696134800.0,4268415366087.3,151.66399999999976,4.7,426841536.61,42684.15,61937.25,-19253.1,-31.08,619372491.03,962117485.08,1324088550.31,-192530954.41999996,-342744994.0500001,-361971065.2299999,-31.08,-35.62,-27.34,0,3226.5888,3045.250499999999,3003.7134499999993,
3,000001.SH,20200930,3218.052,3389.742,3425.629,3202.344,3395.678,-177.6254,-0.0523,490622905000.0,6193724910342.7,223.28499999999985,6.94,619372491.03,61937.25,96211.75,-34274.5,-35.62,962117485.08,1324088550.31,573348260.36,-342744994.0500001,-361971065.2299999,750740289.9499999,-35.62,-27.34,130.94,0,3152.1524,3027.8095999999996,2989.534499999999,
4,000001.SH,20200831,3395.678,3332.183,3456.721,3263.265,3310.007,85.671,0.0259,735912569800.0,9621174850828.0,193.45600000000013,5.7,962117485.08,96211.75,132408.86,-36197.11,-27.34,1324088550.31,573348260.36,448840349.91,-361971065.2299999,750740289.9499999,124507910.44999999,-27.34,130.94,27.74,0,3080.5583999999994,2993.2025,2957.860499999999,
5,000001.SH,20200731,3310.007,2991.181,3458.791,2984.984,2984.674,325.3324,0.109,1024499525500.0,13240885503095.0,473.80700000000024,14.31,1324088550.31,132408.86,57334.83,75074.03,130.94,573348260.36,448840349.91,506618925.9,750740289.9499999,124507910.44999999,-57778575.98999995,130.94,27.74,-11.4,2,2951.481999999999,2946.5402999999997,,
6,000001.SH,20200630,2984.674,2871.964,2990.825,2871.964,2852.351,132.3229,0.0464,469981968500.0,5733482603571.1,118.86099999999988,3.98,573348260.36,57334.83,44884.03,12450.8,27.74,448840349.91,506618925.9,750434240.32,124507910.44999999,-57778575.98999995,-243815314.42000008,27.74,-11.4,-32.49,1,2865.541399999999,2906.0584999999996,,
7,000001.SH,20200529,2852.351,2831.633,2914.284,2802.465,2860.082,-7.731,-0.0027,370370726100.0,4488403499144.7,111.81899999999996,3.92,448840349.91,44884.03,50661.89,-5777.86,-11.4,506618925.9,750434240.32,755670966.87,-57778575.98999995,-243815314.42000008,-5236726.549999952,-11.4,-32.49,-0.69,0,2863.9121999999998,2896.2147999999997,,
8,000001.SH,20200430,2860.082,2743.541,2865.59,2719.904,2750.296,109.786,0.0399,471037919700.0,5066189258964.0,145.68600000000015,5.09,506618925.9,50661.89,75043.42,-24381.53,-32.49,750434240.32,755670966.87,446175388.14,-243815314.42000008,-5236726.549999952,309495578.73,-32.49,-0.69,69.37,0,2903.4667999999992,2904.2303,,
9,000001.SH,20200331,2750.296,2899.31,3074.257,2646.805,2880.304,-130.0076,-0.0451,698947474000.0,7504342403227.0,427.4520000000002,15.54,750434240.32,75043.42,75567.1,-523.68,-0.69,755670966.87,446175388.14,441695001.48,-5236726.549999952,309495578.73,4480386.659999967,-0.69,69.37,1.01,0,2905.8466,2916.1099000000004,,
