,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,high_low,pct_high_low,amount_w,amount_y,pre_amount_y,amount_change,pct_amount_change,amount_w_1,amount_w_2,amount_w_3,amount_change_1,amount_change_2,amount_change_3,pct_amount_change_1,pct_amount_change_2,pct_amount_change_3,amount_up,MA5,MA10,MA20,MA30
0,000001.SH,20210108,3570.1082,3474.6793,3588.0625,3457.2061,3473.0693,97.0389,0.0279,190992378200.0,2661067136553.0,130.85640000000012,3.67,266106713.66,26610.67,16082.87,10527.8,65.46,160828720.25,195176887.62,165911011.35,105277993.41,-34348167.370000005,29265876.27000001,65.46,-17.6,17.64,1,3436.3654199999996,3403.4705899999994,3347.03745,3307.99295
1,000001.SH,20201231,3473.0693,3396.359,3474.9182,3374.4156,3396.5626,76.5067,0.0225,125464819600.0,1608287202461.0,100.50260000000026,2.89,160828720.25,16082.87,19517.69,-3434.82,-17.6,195176887.62,165911011.35,168225480.1,-34348167.370000005,29265876.27000001,-2314468.75,-17.6,17.64,-1.38,0,3411.2600599999996,3368.913019999999,3337.5661649999993,3286.314036666666
2,000001.SH,20201225,3396.5626,3394.3945,3423.6088,3348.3453,3394.896,1.6666,0.0005,147591232000.0,1951768876164.0,75.26350000000002,2.22,195176887.62,19517.69,16591.1,2926.59,17.64,165911011.35,168225480.1,190490766.31,29265876.27000001,-2314468.75,-22265286.21000001,17.64,-1.38,-11.69,1,3398.3076200000005,3349.405809999999,3331.9176399999997,3268.2383699999996
3,000001.SH,20201218,3394.896,3349.534,3413.8134,3338.6263,3347.191,47.705,0.0143,124274557600.0,1659110113508.0,75.1871000000001,2.21,165911011.35,16591.1,16822.55,-231.45,-1.38,168225480.1,190490766.31,181786614.79,-2314468.75,-22265286.21000001,8704151.52000001,-1.38,-11.69,4.79,0,3394.5404399999998,3343.385369999999,3329.7912699999993,3250.0979899999998
4,000001.SH,20201211,3347.191,3446.6478,3449.5782,3325.172,3444.5814,-97.3904,-0.0283,128810272200.0,1682254800973.0,124.4061999999999,3.72,168225480.1,16822.55,19049.08,-2226.53,-11.69,190490766.31,181786614.79,167829932.11,-22265286.21000001,8704151.52000001,13956682.679999977,-11.69,4.79,8.32,0,3377.5821599999995,3331.1033899999993,3325.5467949999997,3230.72697
5,000001.SH,20201204,3444.5814,3418.1583,3465.7288,3386.9113,3408.3071,36.2743,0.0106,156872669700.0,1904907663124.1,78.81749999999965,2.29,190490766.31,19049.08,18178.66,870.42,4.79,181786614.79,167829932.11,176421478.25,8704151.52000001,13956682.679999977,-8591546.139999986,4.79,8.32,-4.87,2,3370.5757599999997,3318.1894999999995,3318.0256649999997,3214.7692266666663
6,000001.SH,20201127,3408.3071,3384.1039,3431.6529,3344.2822,3377.7267,30.5804,0.0091,153351311400.0,1817866147852.9,87.37069999999994,2.56,181786614.79,18178.66,16782.99,1395.67,8.32,167829932.11,176421478.25,154155363.02,13956682.679999977,-8591546.139999986,22266115.22999999,8.32,-4.87,14.44,1,3326.5659800000003,3295.6731499999996,3306.50303,3196.4613266666665
7,000001.SH,20201120,3377.7267,3325.6209,3380.1489,3313.6469,3310.1046,67.6221,0.0204,136529171000.0,1678299321089.0,66.50199999999995,1.97,167829932.11,16782.99,17642.15,-859.16,-4.87,176421478.25,154155363.02,131668625.44,-8591546.139999986,22266115.22999999,22486737.580000013,-4.87,14.44,17.08,0,3300.504000000001,3288.6514099999995,3305.2537849999994,3178.1871633333335
8,000001.SH,20201113,3310.1046,3329.4285,3387.6219,3291.6425,3312.159,-2.0544,-0.0006,130452521000.0,1764214782495.0,95.97940000000017,2.9,176421478.25,17642.15,15415.54,2226.61,14.44,154155363.02,131668625.44,124489542.85,22266115.22999999,22486737.580000013,7179082.590000004,14.44,17.08,5.77,3,3292.2303000000006,3276.91335,3294.0080799999996,3159.2139166666666
9,000001.SH,20201106,3312.159,3228.715,3326.4645,3209.9094,3224.5325,87.6265,0.0272,109225672300.0,1541553630169.9,116.55510000000004,3.52,154155363.02,15415.54,13166.86,2248.68,17.08,131668625.44,124489542.85,144266263.94,22486737.580000013,7179082.590000004,-19776721.090000004,17.08,5.77,-13.71,2,3284.624620000001,3281.43955,3277.480374999999,3143.49358
10,000001.SH,20201030,3224.5325,3258.7028,3289.7655,3219.4216,3277.9972,-53.4647,-0.0163,90492171800.0,1316686254373.3,70.34389999999985,2.18,131668625.44,13166.86,12448.95,717.91,5.77,124489542.85,144266263.94,26417104.38,7179082.590000004,-19776721.090000004,117849159.56,5.77,-13.71,446.11,1,3265.803240000001,3290.6043099999997,3260.254129999999,3126.30932
11,000001.SH,20201023,3277.9972,3351.0961,3371.0862,3276.6197,3336.3582,-58.361,-0.0175,89517938600.0,1244895428529.0,94.4665,2.88,124489542.85,12448.95,14426.63,-1977.68,-13.71,144266263.94,26417104.38,62274305.88,-19776721.090000004,117849159.56,-35857201.5,-13.71,446.11,-57.58,0,3264.780320000001,3306.2193099999995,3245.014544999999,3110.9578166666665
