,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,high_low,pct_high_low,amount_w,amount_y,pre_amount_w,amount_change,pct_amount_change,amount_w_1,amount_w_2,amount_w_3,amount_change_1,amount_change_2,amount_change_3,pct_amount_change_1,pct_amount_change_2,pct_amount_change_3,amount_up,PB,MA5,MA10,MA20,MA30,RSI6,RSI12,RSI24,MTM,CCI,EMA12,EMA26,DIF,DEA,MACD,K,D,J,BOLL_UPPER,BOLL_MIDDLE,BOLL_LOWER
0,399001.SZ,20210108,15319.2912,15402.7426,15453.1783,15162.7059,15356.4035,-37.1123,-0.2417,420062728.0,630105126.9,290.47239999999874,1.9,63010512.69,6301.05,67079452.15,-4068939.46,-6.07,67079452.15,64541743.91,69842578.3,-4068939.460000001,2537708.240000002,-5300834.390000001,-6.07,3.93,-7.59,0,3.9,15167.669300000003,14654.196310000003,14249.768915000002,14121.363656666666,3.1135775448374896,11.327432809043707,30.343360364774668,-1117.7258000000002,-54.635293768734826,14539.379983333338,14168.767911538464,370.6120717948743,173.04972094017526,395.12470170939804,7.907197949625942,8.952304759987038,5.81698432890375,15389.371206912021,14249.768915000002,13110.166623087984
1,399001.SZ,20210107,15356.4035,15178.3476,15356.4035,15101.6671,15187.6139,168.7896,1.1114,469284072.0,670794521.5,254.73639999999978,1.66,67079452.15,6707.95,64541743.91,2537708.24,3.93,64541743.91,69842578.3,64101413.56,2537708.240000002,-5300834.390000001,5741164.739999995,3.93,-7.59,8.96,1,3.91,14997.9477,14513.824570000002,14170.371465000004,14064.053746666668,2.5253741847276308,22.778558526217722,29.813769984698098,-1386.1930000000011,-71.56784677216937,14419.630933333336,14116.548073076925,303.08286025641064,131.96290356125812,342.23991339030505,22.07176004665027,13.44711587397859,39.32104839199363,15218.443615000982,14170.371465000004,13122.299314999025
2,399001.SZ,20210106,15187.6139,15221.4394,15295.0738,14987.3654,15147.5693,40.0446,0.2644,433240718.0,645417439.1,307.70839999999953,2.03,64541743.91,6454.17,69842578.3,-5300834.39,-7.59,69842578.3,64101413.56,51126565.2,-5300834.390000001,5741164.739999995,12974848.36,-7.59,8.96,25.38,0,3.87,14766.98008,14379.686510000005,14088.377825000003,14007.376793333335,9.10633974126605,19.69440001611651,29.725671817998368,-1143.5133999999998,-75.35352320411381,14317.834766666672,14061.700807692308,256.13395897436385,96.62066303419326,319.0265918803412,21.45468470468393,17.144547566986713,30.07495898007837,15000.201982385583,14088.377825000003,13176.553667614424
3,399001.SZ,20210105,15147.5693,14760.2525,15149.0965,14716.7892,14827.4686,320.1007,2.1588,458934763.0,698425783.0,432.3073000000004,2.85,69842578.3,6984.26,64101413.56,5741164.74,8.96,64101413.56,51126565.2,46946839.65,5741164.739999995,12974848.36,4179725.5500000045,8.96,25.38,8.9,3,3.85,14523.4994,14249.155380000006,14027.691725000002,13964.540903333336,8.844093164876606,21.176913576271435,29.41498975482156,-1130.5122999999985,-94.3640864849634,14206.710250000006,14003.335296153848,203.37495384615795,68.13482300570305,270.4802616809098,33.77818433365136,25.768209694995182,49.798133610963724,14787.72428926779,14027.691725000002,13267.659160732215
4,399001.SZ,20210104,14827.4686,14516.1215,14859.0865,14486.2519,14470.6832,356.7854,2.4656,435497759.0,641014135.6,372.83460000000014,2.51,64101413.56,6410.14,51126565.2,12974848.36,25.38,51126565.2,46946839.65,47763272.75,12974848.36,4179725.5500000045,-816433.1000000015,25.38,8.9,-1.71,2,3.77,14302.80564,14147.883400000006,13968.987355000005,13924.798086666671,7.8288368030607165,19.641274582861413,26.962141602479477,-911.8948,-116.53879659698391,14101.901666666672,13947.308915384618,154.59275128205445,46.33373354701345,216.518035470082,22.073583484866873,25.768817507734052,14.683115439132514,14529.011703530157,13968.987355000005,13408.963006469852
5,399001.SZ,20201231,14470.6832,14226.2842,14476.5477,14226.2842,14201.5654,269.1178,1.895,372217263.0,511265652.0,250.2634999999991,1.73,51126565.2,5112.66,46946839.65,4179725.55,8.9,46946839.65,47763272.75,48290943.9,4179725.5500000045,-816433.1000000015,-527671.1499999985,8.9,-1.71,-1.09,1,3.67,14140.723320000001,14050.548510000008,13928.946760000003,13892.29640666667,18.79140610189803,20.197249577670565,27.465884143763898,-455.66029999999955,-158.13471567928693,14012.203516666674,13900.098350000002,112.10516666667172,31.424004273508924,161.3623247863256,25.767622950858435,27.20646358979222,22.889941672990858,14329.548076800453,13928.946760000003,13528.345443199552
6,399001.SZ,20201230,14201.5654,13970.4455,14208.6815,13968.0894,13970.2105,231.3549,1.6561,351919991.0,469468396.5,240.59209999999985,1.69,46946839.65,4694.68,47763272.75,-816433.1,-1.71,47763272.75,48290943.9,43469802.04,-816433.1000000015,-527671.1499999985,4821141.859999999,-1.71,-1.09,11.09,0,3.61,14029.70144,13992.466820000007,13903.946800000005,13869.188473333337,15.784814096038287,19.346809802439815,26.627406388788167,-319.2627999999986,-150.705098783535,13953.255966666673,13868.768030769232,84.48793589744128,21.340262962967245,126.29534586894806,21.015604893707984,22.952270443144428,17.14227379483509,14219.595573762515,13903.946800000005,13588.298026237495
7,399001.SZ,20201229,13970.2105,14042.7946,14082.4967,13915.8854,14044.1005,-73.89,-0.5261,371600319.0,477632727.5,166.61130000000048,1.19,47763272.75,4776.33,48290943.9,-527671.15,-1.09,48290943.9,43469802.04,46276641.12,-527671.1499999985,4821141.859999999,-2806839.079999998,-1.09,11.09,-6.07,0,3.55,13992.392940000002,13947.419360000009,13891.947300000003,13851.076406666669,38.31940612922884,17.77542078204953,28.042273619177678,164.63900000000103,-70.89779776506116,13910.803225000009,13857.266946153848,53.53627884616071,15.585214743593598,75.90212820513423,22.285279767408582,23.02283587065833,20.810167560909086,14178.316015594652,13891.947300000003,13605.578584405355
8,399001.SZ,20201228,14044.1005,14020.9523,14112.5856,13959.1429,14017.057,27.0435,0.1929,373252546.0,482909439.0,153.4426999999996,1.09,48290943.9,4829.09,43469802.04,4821141.86,11.09,43469802.04,46276641.12,51580744.36,4821141.859999999,-2806839.079999998,-5304103.240000002,11.09,-6.07,-10.28,1,3.57,13974.811360000002,13926.72957000001,13889.955505000002,13843.15338666667,28.2397133950114,26.18762491730438,33.886166085871835,-189.98080000000118,-17.95397092742258,13876.214391666676,13856.692880769233,19.521510897442568,14.369497151000663,10.304027492883808,28.134998224919787,23.81196096201211,36.78107275073514,14174.668479879154,13889.955505000002,13605.24253012085
9,399001.SZ,20201225,14017.057,13879.2359,14017.057,13835.5154,13915.5738,101.4832,0.7293,338254124.0,434698020.4,181.54160000000047,1.3,43469802.04,4346.98,46276641.12,-2806839.08,-6.07,46276641.12,51580744.36,52544013.95,-2806839.079999998,-5304103.240000002,-963269.5900000036,-6.07,-10.28,-1.83,0,3.56,13992.96116,13891.53277000001,13871.256010000003,13836.71099666667,31.01256109576263,25.94421623382901,35.06399232209935,-127.19070000000102,78.07545261783822,13850.151200000008,13849.320484615388,0.8307153846199071,15.148149074077285,-28.634867378914755,32.546574829509694,27.65561760727935,42.32848927397038,14162.07728529746,13871.256010000003,13580.434734702545
