,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,high_low,pct_high_low,amount_w,amount_y,pre_amount_y,amount_change,pct_amount_change,amount_w_1,amount_w_2,amount_w_3,amount_change_1,amount_change_2,amount_change_3,pct_amount_change_1,pct_amount_change_2,pct_amount_change_3,amount_up,MA5,MA10,MA20,MA30
0,399006.SZ,20201231,2966.256,2628.725,2969.752,2627.446,2631.889,334.367,0.127,41416559846.0,1504652537875.69,342.30600000000004,11.54,150465253.79,15046.53,12624.12,2422.41,19.19,126241162.75,93533900.31,140711664.45,24224091.03999999,32707262.439999998,-47177764.139999986,19.19,34.97,-33.53,2,2711.416,2481.8689000000004,2087.8160999999996,
1,399006.SZ,20201130,2631.889,2670.515,2831.368,2584.69,2655.864,-23.975,-0.009,40332597375.0,1262411627494.09,246.67799999999988,9.37,126241162.75,12624.12,9353.39,3270.73,34.97,93533900.31,140711664.45,164245172.42,32707262.439999998,-47177764.139999986,-23533507.97,34.97,-33.53,-14.33,1,2677.2446,2392.3999,2020.6923499999998,
2,399006.SZ,20201030,2655.864,2632.591,2793.485,2555.319,2574.758,81.106,0.0315,32963724465.0,935339003097.24,238.16600000000017,8.97,93533900.31,9353.39,14071.17,-4717.78,-33.53,140711664.45,164245172.42,235362215.54,-47177764.139999986,-23533507.97,-71117043.12,-33.53,-14.33,-30.22,0,2638.506,2321.9851,1973.7752499999995,
3,399006.SZ,20200930,2574.758,2721.179,2789.12,2474.702,2728.313,-153.555,-0.0563,63059109839.0,1407116644455.87,314.41799999999967,12.21,140711664.45,14071.17,16424.52,-2353.35,-14.33,164245172.42,235362215.54,124712030.79,-23533507.97,-71117043.12,110650184.74999999,-14.33,-30.22,88.72,0,2524.6662,2236.2104999999997,1917.7660499999995,
4,399006.SZ,20200831,2728.313,2831.35,2893.403,2577.712,2795.399,-67.086,-0.024,56943291329.0,1642451724216.36,315.6909999999998,11.57,164245172.42,16424.52,23536.22,-7111.7,-30.22,235362215.54,124712030.79,83641340.63,-71117043.12,110650184.74999999,41070690.16000001,-30.22,88.72,49.1,0,2423.6009999999997,2145.2242999999994,1850.4274999999993,
5,399006.SZ,20200731,2795.399,2449.865,2896.309,2381.593,2438.196,357.203,0.1465,84081829505.0,2353622155406.03,514.7160000000003,18.41,235362215.54,23536.22,12471.2,11065.02,88.72,124712030.79,83641340.63,97264301.39,110650184.74999999,41070690.16000001,-13622960.760000005,88.72,49.1,-14.01,2,2252.3217999999997,2039.5241999999992,,
6,399006.SZ,20200630,2438.196,2105.241,2441.899,2105.241,2086.665,351.531,0.1685,57877235433.0,1247120307935.02,336.6579999999999,13.81,124712030.79,12471.2,8364.13,4107.07,49.1,83641340.63,97264301.39,140114810.87,41070690.16000001,-13622960.760000005,-42850509.480000004,49.1,-14.01,-30.58,1,2107.5552,1922.7387999999987,,
7,399006.SZ,20200529,2086.665,2052.389,2153.243,2021.98,2069.432,17.233,0.0083,36798802797.0,836413406284.98,131.26299999999992,6.29,83641340.63,8364.13,9726.43,-1362.3,-14.01,97264301.39,140114810.87,167419518.51,-13622960.760000005,-42850509.480000004,-27304707.639999986,-14.01,-30.58,-16.31,0,2005.4642,1840.0089999999989,,
8,399006.SZ,20200430,2069.432,1875.364,2077.807,1857.323,1871.917,197.515,0.1055,44746431414.0,972643013867.23,220.4839999999997,10.65,97264301.39,9726.43,14011.48,-4285.05,-30.58,140114810.87,167419518.51,83801995.33,-42850509.480000004,-27304707.639999986,83617523.17999999,-30.58,-16.31,99.78,0,1947.7548000000002,1788.3817999999987,,
9,399006.SZ,20200331,1871.917,2110.447,2238.734,1817.553,2071.566,-199.649,-0.0964,63140043598.0,1401148108701.82,421.1809999999998,22.5,140114810.87,14011.48,16741.95,-2730.47,-16.31,167419518.51,83801995.33,83572018.86,-27304707.639999986,83617523.17999999,229976.4699999988,-16.31,99.78,0.28,0,1866.8476000000003,1732.589299999999,,
