,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,high_low,pct_high_low,amount_w,amount_y,pre_amount_y,amount_change,pct_amount_change,amount_w_1,amount_w_2,amount_w_3,amount_change_1,amount_change_2,amount_change_3,pct_amount_change_1,pct_amount_change_2,pct_amount_change_3,amount_up,MA5,MA10,MA20,MA30
0,399006.SZ,20210108,3150.779,2977.32,3194.365,2963.413,2966.256,184.523,0.0622,12619813268.0,551715382481.88,230.95199999999977,7.33,55171538.25,5517.15,3062.86,2454.29,80.13,30628605.45,34808951.86,30581420.29,24542932.8,-4180346.41,4227531.57,80.13,-12.01,13.82,1,2885.269,2788.3147999999997,2713.75795,2678.4953000000005
1,399006.SZ,20201231,2966.256,2847.12,2969.752,2795.646,2840.8,125.456,0.0442,7758429733.0,306286054492.68,174.10599999999977,5.87,30628605.45,3062.86,3480.9,-418.04,-12.01,34808951.86,30581420.29,29908435.48,-4180346.41,4227531.57,672984.8099999987,-12.01,13.82,2.25,0,2801.2806,2738.8233,2687.8416,2647.0281333333337
2,399006.SZ,20201225,2840.8,2789.642,2888.349,2783.386,2780.73,60.07,0.0216,8601744960.0,348089518606.76,104.96300000000019,3.69,34808951.86,3480.9,3058.14,422.76,13.82,30581420.29,29908435.48,31717482.59,4227531.57,672984.8099999987,-1809047.1099999994,13.82,2.25,-5.7,2,2731.8274,2702.2819,2672.9644,2620.365433333334
3,399006.SZ,20201218,2780.73,2695.191,2803.114,2674.507,2687.78,92.95,0.0346,7516483524.0,305814202923.68,128.60699999999997,4.62,30581420.29,3058.14,2990.84,67.3,2.25,29908435.48,31717482.59,25776986.56,672984.8099999987,-1809047.1099999994,5940496.030000001,2.25,-5.7,23.05,1,2697.0858,2690.6515,2668.42205,2595.2276
4,399006.SZ,20201211,2687.78,2720.854,2763.414,2665.1,2730.837,-43.057,-0.0158,9335589141.0,299084354785.78,98.3140000000003,3.66,29908435.48,2990.84,3171.75,-180.91,-5.7,31717482.59,25776986.56,27254031.93,-1809047.1099999994,5940496.030000001,-1477045.370000001,-5.7,23.05,-5.42,0,2682.3024,2679.8719,2669.1555,2570.756433333334
5,399006.SZ,20201204,2730.837,2627.866,2736.273,2593.703,2618.99,111.847,0.0427,10686111029.0,317174825860.93,142.57000000000016,5.22,31717482.59,3171.75,2577.7,594.05,23.05,25776986.56,27254031.93,33981301.74,5940496.030000001,-1477045.370000001,-6727269.810000002,23.05,-5.42,-19.8,1,2691.3606,2668.5697,2666.1585999999998,2551.9741000000004
6,399006.SZ,20201127,2618.99,2677.347,2705.767,2584.69,2667.092,-48.102,-0.018,8497420857.0,257769865633.28,121.07699999999977,4.62,25776986.56,2577.7,2725.4,-147.7,-5.42,27254031.93,33981301.74,32049200.63,-1477045.370000001,-6727269.810000002,1932101.1100000031,-5.42,-19.8,6.03,0,2676.366,2649.5286,2662.73685,2531.787633333334
7,399006.SZ,20201120,2667.092,2716.021,2722.522,2593.834,2706.813,-39.721,-0.0147,8304389404.0,272540319349.93,128.6880000000001,4.83,27254031.93,2725.4,3398.13,-672.73,-19.8,33981301.74,32049200.63,29000871.69,-6727269.810000002,1932101.1100000031,3048328.9399999976,-19.8,6.03,10.51,0,2672.7364000000002,2647.2377,2670.71015,2513.4690333333338
8,399006.SZ,20201113,2706.813,2753.925,2831.368,2679.094,2733.071,-26.258,-0.0096,10773590814.0,339813017380.01,152.2739999999999,5.63,33981301.74,3398.13,3204.92,193.21,6.03,32049200.63,29000871.69,24724106.6,1932101.1100000031,3048328.9399999976,4276765.09,6.03,10.51,17.3,3,2684.2172,2634.1902999999998,2660.4836499999997,2491.357533333334
9,399006.SZ,20201106,2733.071,2670.515,2798.554,2664.763,2655.864,77.207,0.0291,10275397759.0,320492006336.73,133.79100000000017,4.9,32049200.63,3204.92,2900.09,304.83,10.51,29000871.69,24724106.6,33143911.31,3048328.9399999976,4276765.09,-8419804.709999997,10.51,17.3,-25.4,2,2677.4414,2636.7244,2644.2666499999996,2468.4894000000004
