,exchange,cal_date,is_open
0,SSE,20200511,1
1,SSE,20200512,1
2,SSE,20200513,1
3,SSE,20200514,1
4,SSE,20200515,1
5,SSE,20200518,1
6,SSE,20200519,1
7,SSE,20200520,1
8,SSE,20200521,1
9,SSE,20200522,1
10,SSE,20200525,1
11,SSE,20200526,1
12,SSE,20200527,1
13,SSE,20200528,1
14,SSE,20200529,1
15,SSE,20200601,1
16,SSE,20200602,1
17,SSE,20200603,1
18,SSE,20200604,1
19,SSE,20200605,1
20,SSE,20200608,1
21,SSE,20200609,1
22,SSE,20200610,1
23,SSE,20200611,1
24,SSE,20200612,1
25,SSE,20200615,1
26,SSE,20200616,1
27,SSE,20200617,1
28,SSE,20200618,1
29,SSE,20200619,1
30,SSE,20200622,1
31,SSE,20200623,1
32,SSE,20200624,1
33,SSE,20200629,1
34,SSE,20200630,1
